<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.08.18	01:00:00	3334.75	3335.41	3333.10	3333.45	739	0	8
2025.08.18	01:15:00	3333.45	3335.35	3333.11	3335.11	736	0	8
2025.08.18	01:30:00	3335.07	3335.27	3334.03	3334.77	475	0	8
2025.08.18	01:45:00	3334.76	3335.11	3334.10	3334.45	331	0	8
2025.08.18	02:00:00	3334.43	3334.50	3330.23	3330.38	992	0	8
2025.08.18	02:15:00	3330.39	3330.87	3323.61	3329.13	2140	0	8
2025.08.18	02:30:00	3329.13	3329.62	3327.93	3328.35	735	0	8
2025.08.18	02:45:00	3328.31	3328.39	3325.84	3327.09	1059	0	8
2025.08.18	03:00:00	3327.09	3335.09	3327.09	3334.92	1997	0	8
2025.08.18	03:15:00	3334.90	3342.21	3334.28	3340.32	2984	0	8
2025.08.18	03:30:00	3340.33	3341.49	3338.95	3340.80	2068	0	8
2025.08.18	03:45:00	3340.77	3342.87	3340.34	3340.64	1693	0	8
2025.08.18	04:00:00	3340.58	3344.13	3340.06	3342.77	2952	0	8
2025.08.18	04:15:00	3342.75	3344.00	3339.81	3340.46	2025	0	8
2025.08.18	04:30:00	3340.47	3345.50	3339.67	3344.31	2392	0	8
2025.08.18	04:45:00	3344.31	3347.45	3343.70	3346.85	2168	0	8
2025.08.18	05:00:00	3346.85	3347.57	3344.54	3344.54	1762	0	8
2025.08.18	05:15:00	3344.54	3344.66	3342.39	3342.74	1359	0	8
2025.08.18	05:30:00	3342.75	3344.72	3342.66	3344.03	1716	0	8
2025.08.18	05:45:00	3344.03	3344.37	3342.65	3343.39	1051	0	8
2025.08.18	06:00:00	3343.34	3345.95	3343.32	3344.13	1161	0	8
2025.08.18	06:15:00	3344.09	3346.97	3343.98	3346.78	1337	0	8
2025.08.18	06:30:00	3346.78	3348.55	3346.59	3348.33	1214	0	8
2025.08.18	06:45:00	3348.33	3351.83	3346.55	3347.13	2255	0	8
2025.08.18	07:00:00	3347.13	3350.92	3346.85	3350.86	1255	0	8
2025.08.18	07:15:00	3350.85	3352.77	3350.55	3352.36	1541	0	8
2025.08.18	07:30:00	3352.36	3355.63	3352.34	3355.11	1644	0	8
2025.08.18	07:45:00	3355.15	3358.19	3355.12	3357.60	1716	0	8
2025.08.18	08:00:00	3357.60	3358.43	3354.88	3355.26	1744	0	8
2025.08.18	08:15:00	3355.27	3355.45	3351.28	3351.28	1952	0	8
2025.08.18	08:30:00	3351.29	3351.48	3346.63	3348.22	3315	0	8
2025.08.18	08:45:00	3348.22	3351.24	3347.01	3349.61	2287	0	8
2025.08.18	09:00:00	3349.54	3351.17	3348.87	3349.73	1815	0	8
2025.08.18	09:15:00	3349.72	3349.90	3346.19	3349.53	2449	0	8
2025.08.18	09:30:00	3349.53	3350.87	3348.32	3349.59	1763	0	8
2025.08.18	09:45:00	3349.54	3350.46	3347.91	3349.54	1980	0	8
2025.08.18	10:00:00	3349.68	3354.32	3348.25	3353.82	2730	0	8
2025.08.18	10:15:00	3353.82	3355.69	3352.24	3352.35	2374	0	8
2025.08.18	10:30:00	3352.34	3352.72	3349.03	3350.62	1854	0	8
2025.08.18	10:45:00	3350.62	3351.24	3347.24	3349.06	2078	0	8
2025.08.18	11:00:00	3349.06	3349.90	3344.69	3345.56	2202	0	8
2025.08.18	11:15:00	3345.55	3347.99	3344.65	3347.88	2153	0	8
2025.08.18	11:30:00	3347.89	3348.95	3346.80	3348.78	1783	0	8
2025.08.18	11:45:00	3348.78	3349.87	3347.75	3348.72	1546	0	8
2025.08.18	12:00:00	3348.70	3351.07	3348.23	3350.36	1453	0	8
2025.08.18	12:15:00	3350.36	3350.47	3348.14	3348.69	1313	0	8
2025.08.18	12:30:00	3348.65	3351.67	3347.88	3349.35	2030	0	8
2025.08.18	12:45:00	3349.35	3350.55	3347.54	3348.08	1730	0	8
2025.08.18	13:00:00	3348.07	3350.35	3347.93	3350.07	1268	0	8
2025.08.18	13:15:00	3350.06	3351.45	3348.08	3348.68	1424	0	8
2025.08.18	13:30:00	3348.68	3350.17	3348.07	3349.40	1878	0	8
2025.08.18	13:45:00	3349.40	3349.61	3346.54	3346.64	1314	0	8
2025.08.18	14:00:00	3346.64	3348.75	3346.55	3348.07	1368	0	8
2025.08.18	14:15:00	3348.08	3348.73	3347.50	3348.63	1159	0	8
2025.08.18	14:30:00	3348.59	3348.65	3346.73	3346.92	1207	0	8
2025.08.18	14:45:00	3346.89	3347.06	3344.65	3345.46	1621	0	8
2025.08.18	15:00:00	3345.48	3348.06	3345.08	3347.06	1958	0	8
2025.08.18	15:15:00	3347.06	3347.74	3345.34	3346.42	1991	0	8
2025.08.18	15:30:00	3346.41	3348.78	3345.99	3347.86	2544	0	8
2025.08.18	15:45:00	3347.87	3347.94	3343.08	3344.77	2361	0	8
2025.08.18	16:00:00	3344.78	3344.94	3341.08	3341.27	3378	0	8
2025.08.18	16:15:00	3341.25	3344.25	3340.45	3343.13	2926	0	8
2025.08.18	16:30:00	3343.14	3344.00	3338.00	3340.06	3783	0	8
2025.08.18	16:45:00	3340.07	3340.13	3335.76	3336.73	3461	0	8
2025.08.18	17:00:00	3336.80	3338.38	3332.51	3335.56	4304	0	8
2025.08.18	17:15:00	3335.56	3337.29	3335.08	3335.87	3048	0	8
2025.08.18	17:30:00	3335.85	3338.76	3334.82	3335.64	2819	0	8
2025.08.18	17:45:00	3335.67	3336.11	3333.01	3334.33	3174	0	8
2025.08.18	18:00:00	3334.34	3335.24	3332.30	3334.66	2581	0	8
2025.08.18	18:15:00	3334.70	3335.94	3333.45	3334.75	2091	0	8
2025.08.18	18:30:00	3334.75	3335.68	3333.25	3335.14	1814	0	8
2025.08.18	18:45:00	3335.14	3336.86	3334.00	3335.66	2037	0	8
2025.08.18	19:00:00	3335.74	3335.80	3331.96	3333.53	2166	0	8
2025.08.18	19:15:00	3333.45	3333.47	3331.92	3332.42	1752	0	8
2025.08.18	19:30:00	3332.44	3334.63	3331.76	3332.66	1574	0	8
2025.08.18	19:45:00	3332.62	3334.52	3332.45	3334.36	1691	0	8
2025.08.18	20:00:00	3334.35	3334.39	3331.72	3333.97	1663	0	8
2025.08.18	20:15:00	3333.96	3334.20	3332.06	3332.65	1838	0	8
2025.08.18	20:30:00	3332.63	3334.52	3332.43	3334.40	1392	0	8
2025.08.18	20:45:00	3334.42	3334.93	3332.97	3333.96	1092	0	8
2025.08.18	21:00:00	3333.91	3333.91	3332.76	3333.03	981	0	8
2025.08.18	21:15:00	3333.04	3333.17	3332.09	3333.01	946	0	8
2025.08.18	21:30:00	3333.00	3333.46	3331.57	3332.00	880	0	8
2025.08.18	21:45:00	3332.01	3332.60	3331.58	3331.94	821	0	8
2025.08.18	22:00:00	3331.94	3332.23	3330.34	3331.22	1092	0	8
2025.08.18	22:15:00	3331.22	3332.33	3330.57	3331.85	1056	0	8
2025.08.18	22:30:00	3331.86	3332.79	3331.40	3331.43	956	0	8
2025.08.18	22:45:00	3331.44	3334.28	3331.44	3333.54	1187	0	8
2025.08.18	23:00:00	3333.56	3334.30	3333.32	3333.50	588	0	8
2025.08.18	23:15:00	3333.61	3333.79	3333.27	3333.31	347	0	8
2025.08.18	23:30:00	3333.30	3334.01	3332.77	3333.02	489	0	8
2025.08.18	23:45:00	3333.05	3333.30	3332.70	3332.93	475	0	8
2025.08.19	01:00:00	3333.37	3334.33	3332.95	3333.03	411	0	8
2025.08.19	01:15:00	3333.03	3334.69	3332.98	3333.96	432	0	8
2025.08.19	01:30:00	3333.96	3334.39	3333.38	3333.42	323	0	8
2025.08.19	01:45:00	3333.42	3334.50	3333.06	3334.50	334	0	8
2025.08.19	02:00:00	3334.53	3334.74	3333.57	3333.63	451	0	8
2025.08.19	02:15:00	3333.62	3333.63	3331.78	3332.30	535	0	8
2025.08.19	02:30:00	3332.30	3333.26	3331.46	3332.85	739	0	8
2025.08.19	02:45:00	3332.83	3332.83	3330.58	3330.96	749	0	8
2025.08.19	03:00:00	3330.93	3337.83	3326.20	3336.26	3479	0	8
2025.08.19	03:15:00	3336.25	3339.20	3335.64	3337.28	1870	0	8
2025.08.19	03:30:00	3337.29	3338.46	3334.97	3335.95	1568	0	8
2025.08.19	03:45:00	3335.95	3336.30	3332.73	3335.22	1667	0	8
2025.08.19	04:00:00	3335.22	3335.68	3330.33	3331.45	3037	0	8
2025.08.19	04:15:00	3331.45	3335.28	3331.00	3332.55	2516	0	8
2025.08.19	04:30:00	3332.55	3334.11	3331.01	3333.17	2391	0	8
2025.08.19	04:45:00	3333.17	3335.67	3332.65	3333.01	1978	0	8
2025.08.19	05:00:00	3332.97	3333.11	3329.54	3332.23	2231	0	8
2025.08.19	05:15:00	3332.23	3334.80	3331.79	3333.66	1360	0	8
2025.08.19	05:30:00	3333.66	3334.77	3333.20	3333.83	1223	0	8
2025.08.19	05:45:00	3333.84	3338.10	3332.42	3338.05	1763	0	8
2025.08.19	06:00:00	3338.04	3341.20	3337.54	3341.18	2298	0	8
2025.08.19	06:15:00	3341.20	3341.65	3340.33	3341.01	1640	0	8
2025.08.19	06:30:00	3341.03	3341.64	3338.03	3338.37	1244	0	8
2025.08.19	06:45:00	3338.37	3338.55	3337.13	3337.85	1154	0	8
2025.08.19	07:00:00	3337.86	3338.14	3336.15	3337.04	888	0	8
2025.08.19	07:15:00	3336.97	3338.16	3335.82	3336.39	940	0	8
2025.08.19	07:30:00	3336.40	3338.19	3334.50	3335.15	1326	0	8
2025.08.19	07:45:00	3335.23	3337.94	3335.14	3337.68	810	0	8
2025.08.19	08:00:00	3337.67	3338.77	3337.49	3338.04	980	0	8
2025.08.19	08:15:00	3338.04	3340.67	3336.40	3339.95	1373	0	8
2025.08.19	08:30:00	3339.95	3340.73	3337.94	3338.59	1408	0	8
2025.08.19	08:45:00	3338.59	3339.24	3335.78	3336.17	1599	0	8
2025.08.19	09:00:00	3336.18	3338.07	3335.14	3337.35	1810	0	8
2025.08.19	09:15:00	3337.32	3338.79	3335.94	3336.41	1568	0	8
2025.08.19	09:30:00	3336.41	3337.44	3334.73	3334.87	1618	0	8
2025.08.19	09:45:00	3334.89	3336.94	3334.56	3336.10	1621	0	8
2025.08.19	10:00:00	3336.13	3341.83	3335.06	3338.66	2583	0	8
2025.08.19	10:15:00	3338.67	3341.24	3338.63	3339.85	2033	0	8
2025.08.19	10:30:00	3339.85	3340.12	3337.66	3339.77	2108	0	8
2025.08.19	10:45:00	3339.84	3340.92	3338.68	3340.76	1420	0	8
2025.08.19	11:00:00	3340.75	3340.98	3336.75	3336.92	1654	0	8
2025.08.19	11:15:00	3336.92	3339.44	3336.52	3338.59	1369	0	8
2025.08.19	11:30:00	3338.60	3339.08	3337.56	3338.51	1193	0	8
2025.08.19	11:45:00	3338.51	3339.48	3337.08	3338.04	1409	0	8
2025.08.19	12:00:00	3338.05	3339.44	3337.36	3337.38	1337	0	8
2025.08.19	12:15:00	3337.39	3338.41	3336.96	3337.86	1138	0	8
2025.08.19	12:30:00	3337.81	3339.34	3336.95	3338.84	1091	0	8
