<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.02	01:00:00	2065.46	2066.49	2063.23	2063.70	2329	0	0
2024.01.02	02:00:00	2063.72	2065.90	2062.29	2065.49	3604	0	0
2024.01.02	03:00:00	2065.43	2069.90	2064.92	2066.59	7120	0	0
2024.01.02	04:00:00	2066.58	2068.45	2063.99	2067.91	5313	0	0
2024.01.02	05:00:00	2067.92	2070.37	2066.51	2069.69	4168	0	0
2024.01.02	06:00:00	2069.73	2070.69	2068.95	2069.69	2577	0	0
2024.01.02	07:00:00	2069.72	2074.96	2069.55	2074.54	4740	0	0
2024.01.02	08:00:00	2074.61	2076.83	2072.98	2074.21	5741	0	0
2024.01.02	09:00:00	2074.14	2076.43	2073.18	2073.18	7433	0	0
2024.01.02	10:00:00	2073.21	2074.56	2071.84	2073.33	9033	0	0
2024.01.02	11:00:00	2073.34	2078.91	2073.29	2077.05	7773	0	0
2024.01.02	12:00:00	2077.06	2077.79	2073.53	2076.03	6819	0	0
2024.01.02	13:00:00	2076.03	2076.20	2068.30	2069.26	9949	0	0
2024.01.02	14:00:00	2069.25	2069.49	2065.08	2067.93	9538	0	0
2024.01.02	15:00:00	2067.93	2071.08	2064.86	2066.29	13412	0	0
2024.01.02	16:00:00	2066.34	2070.47	2062.20	2070.43	15627	0	0
2024.01.02	17:00:00	2070.44	2070.70	2055.94	2059.34	17238	0	0
2024.01.02	18:00:00	2059.36	2067.61	2059.16	2066.10	12315	0	0
2024.01.02	19:00:00	2066.14	2066.98	2061.84	2062.68	8426	0	0
2024.01.02	20:00:00	2062.75	2064.95	2060.58	2061.18	6626	0	0
2024.01.02	21:00:00	2061.19	2062.18	2060.46	2060.91	5239	0	0
2024.01.02	22:00:00	2060.98	2061.63	2057.99	2058.20	5888	0	0
2024.01.02	23:00:00	2058.25	2059.29	2058.08	2058.97	2307	0	0
2024.01.03	01:00:00	2058.92	2060.01	2058.76	2059.59	1827	0	0
2024.01.03	02:00:00	2059.58	2062.18	2059.20	2060.20	3704	0	0
2024.01.03	03:00:00	2060.23	2062.60	2059.56	2062.45	6701	0	0
2024.01.03	04:00:00	2062.50	2065.18	2061.65	2064.77	5084	0	0
2024.01.03	05:00:00	2064.77	2065.58	2063.30	2065.18	4133	0	0
2024.01.03	06:00:00	2065.16	2065.60	2064.45	2064.82	2137	0	0
2024.01.03	07:00:00	2064.80	2065.99	2063.49	2064.15	3929	0	0
2024.01.03	08:00:00	2064.13	2065.45	2063.43	2064.37	4337	0	0
2024.01.03	09:00:00	2064.35	2064.35	2060.88	2062.99	7182	0	0
2024.01.03	10:00:00	2062.97	2064.34	2058.95	2060.06	8839	0	0
2024.01.03	11:00:00	2060.12	2060.58	2054.33	2056.83	8746	0	0
2024.01.03	12:00:00	2056.84	2057.17	2052.71	2054.92	7571	0	0
2024.01.03	13:00:00	2054.90	2055.64	2046.78	2047.57	8756	0	0
2024.01.03	14:00:00	2047.58	2048.40	2041.86	2045.73	12135	0	0
2024.01.03	15:00:00	2045.73	2047.99	2038.74	2041.05	15548	0	0
2024.01.03	16:00:00	2041.08	2042.34	2031.78	2037.63	16727	0	0
2024.01.03	17:00:00	2037.63	2048.80	2031.88	2032.56	21511	0	0
2024.01.03	18:00:00	2032.59	2036.08	2031.41	2032.43	14895	0	0
2024.01.03	19:00:00	2032.49	2033.81	2030.71	2033.38	10677	0	0
2024.01.03	20:00:00	2033.39	2036.32	2032.94	2035.79	7789	0	0
2024.01.03	21:00:00	2035.67	2042.34	2030.63	2036.64	15345	0	0
2024.01.03	22:00:00	2036.65	2042.32	2036.52	2040.99	9495	0	0
2024.01.03	23:00:00	2041.07	2041.83	2040.35	2041.40	2535	0	0
2024.01.04	01:00:00	2042.27	2043.89	2042.18	2043.00	2262	0	0
2024.01.04	02:00:00	2042.98	2043.21	2041.58	2042.16	3436	0	0
2024.01.04	03:00:00	2042.17	2043.29	2040.11	2042.24	6633	0	0
2024.01.04	04:00:00	2042.22	2044.75	2042.22	2044.65	5801	0	0
2024.01.04	05:00:00	2044.66	2046.94	2044.18	2044.68	3791	0	0
2024.01.04	06:00:00	2044.63	2044.63	2042.44	2043.09	3657	0	0
2024.01.04	07:00:00	2043.08	2044.33	2042.42	2043.82	4226	0	0
2024.01.04	08:00:00	2043.82	2048.64	2043.67	2047.31	6867	0	0
2024.01.04	09:00:00	2047.31	2049.53	2046.51	2047.65	8380	0	0
2024.01.04	10:00:00	2047.70	2048.71	2045.46	2046.77	8641	0	0
2024.01.04	11:00:00	2046.73	2050.93	2046.31	2048.05	9340	0	0
2024.01.04	12:00:00	2048.03	2050.88	2046.65	2047.99	8310	0	0
2024.01.04	13:00:00	2047.97	2048.44	2044.95	2045.16	7297	0	0
2024.01.04	14:00:00	2045.16	2046.25	2043.33	2046.02	6937	0	0
2024.01.04	15:00:00	2046.03	2047.27	2038.85	2040.26	14372	0	0
